order_id,customer_id,product_id,product_name,category,price,quantity,order_date
1,26,104,Sneakers,Fashion,39.99,1,2024-07-25
2,20,105,T-Shirt,Fashion,15.0,3,2024-11-10
3,7,104,Sneakers,Fashion,39.99,3,2024-07-19
4,29,110,Pen Set,Stationery,5.25,5,2024-11-26
5,43,103,Bluetooth Headphones,Electronics,45.9,3,2024-09-18
6,2,101,Wireless Mouse,Electronics,12.99,1,2024-12-06
7,16,106,Backpack,Fashion,29.95,2,2024-01-14
8,44,107,Coffee Maker,Home,55.5,3,2024-01-06
9,29,105,T-Shirt,Fashion,15.0,1,2024-11-21
10,18,102,Laptop Sleeve,Electronics,18.5,2,2024-01-31
11,38,101,Wireless Mouse,Electronics,12.99,3,2024-06-06
12,5,103,Bluetooth Headphones,Electronics,45.9,2,2024-01-21
13,9,107,Coffee Maker,Home,55.5,4,2024-12-11
14,40,105,T-Shirt,Fashion,15.0,2,2024-05-01
15,49,110,Pen Set,Stationery,5.25,1,2024-08-12
16,29,107,Coffee Maker,Home,55.5,4,2024-05-17
17,15,109,Notebook,Stationery,3.5,4,2024-02-02
18,21,109,Notebook,Stationery,3.5,3,2024-05-30
19,30,106,Backpack,Fashion,29.95,3,2024-04-30
20,6,101,Wireless Mouse,Electronics,12.99,1,2024-08-23
21,43,101,Wireless Mouse,Electronics,12.99,1,2024-10-01
22,49,109,Notebook,Stationery,3.5,1,2024-02-25
23,44,110,Pen Set,Stationery,5.25,2,2024-11-29
24,18,109,Notebook,Stationery,3.5,1,2024-03-30
25,27,108,LED Lamp,Home,22.75,3,2024-01-11
26,25,104,Sneakers,Fashion,39.99,4,2024-10-13
27,1,109,Notebook,Stationery,3.5,2,2024-06-30
28,18,107,Coffee Maker,Home,55.5,5,2024-08-05
29,7,110,Pen Set,Stationery,5.25,2,2024-06-02
30,40,108,LED Lamp,Home,22.75,5,2024-02-21
31,41,110,Pen Set,Stationery,5.25,5,2024-08-29
32,32,101,Wireless Mouse,Electronics,12.99,5,2024-04-25
33,28,105,T-Shirt,Fashion,15.0,2,2024-10-24
34,21,104,Sneakers,Fashion,39.99,3,2024-03-07
35,17,104,Sneakers,Fashion,39.99,2,2024-11-11
36,23,106,Backpack,Fashion,29.95,4,2024-12-06
37,25,104,Sneakers,Fashion,39.99,1,2024-08-12
38,24,101,Wireless Mouse,Electronics,12.99,2,2024-02-27
39,4,105,T-Shirt,Fashion,15.0,1,2024-01-09
40,15,108,LED Lamp,Home,22.75,3,2024-04-02
41,16,101,Wireless Mouse,Electronics,12.99,5,2024-07-25
42,19,109,Notebook,Stationery,3.5,5,2024-04-11
43,49,104,Sneakers,Fashion,39.99,3,2024-04-20
44,39,110,Pen Set,Stationery,5.25,5,2024-10-19
45,31,104,Sneakers,Fashion,39.99,3,2024-05-28
46,4,110,Pen Set,Stationery,5.25,4,2024-01-29
47,41,106,Backpack,Fashion,29.95,2,2024-03-12
48,42,106,Backpack,Fashion,29.95,2,2024-06-25
49,13,101,Wireless Mouse,Electronics,12.99,1,2024-10-17
50,42,108,LED Lamp,Home,22.75,4,2024-01-17
51,21,105,T-Shirt,Fashion,15.0,5,2024-02-07
52,16,108,LED Lamp,Home,22.75,2,2024-06-01
53,43,107,Coffee Maker,Home,55.5,4,2024-12-16
54,7,104,Sneakers,Fashion,39.99,3,2024-06-10
55,44,107,Coffee Maker,Home,55.5,5,2024-04-27
56,3,110,Pen Set,Stationery,5.25,5,2024-06-24
57,15,105,T-Shirt,Fashion,15.0,3,2024-05-31
58,16,107,Coffee Maker,Home,55.5,2,2024-08-18
59,13,103,Bluetooth Headphones,Electronics,45.9,1,2024-08-06
60,5,105,T-Shirt,Fashion,15.0,5,2024-06-27
61,4,101,Wireless Mouse,Electronics,12.99,4,2024-09-07
62,45,106,Backpack,Fashion,29.95,5,2024-02-25
63,5,103,Bluetooth Headphones,Electronics,45.9,3,2024-11-30
64,20,101,Wireless Mouse,Electronics,12.99,3,2024-01-09
65,13,102,Laptop Sleeve,Electronics,18.5,4,2024-01-27
66,18,106,Backpack,Fashion,29.95,2,2024-10-25
67,3,107,Coffee Maker,Home,55.5,1,2024-07-23
68,46,101,Wireless Mouse,Electronics,12.99,5,2024-01-11
69,28,105,T-Shirt,Fashion,15.0,2,2024-05-13
70,9,105,T-Shirt,Fashion,15.0,2,2024-07-05
71,16,104,Sneakers,Fashion,39.99,2,2024-05-07
72,23,105,T-Shirt,Fashion,15.0,1,2024-07-31
73,49,109,Notebook,Stationery,3.5,2,2024-01-31
74,48,107,Coffee Maker,Home,55.5,2,2024-03-21
75,13,108,LED Lamp,Home,22.75,3,2024-11-03
76,47,110,Pen Set,Stationery,5.25,5,2024-11-06
77,50,109,Notebook,Stationery,3.5,4,2024-09-13
78,17,110,Pen Set,Stationery,5.25,4,2024-10-29
79,44,102,Laptop Sleeve,Electronics,18.5,4,2024-03-11
80,36,104,Sneakers,Fashion,39.99,1,2024-08-21
81,23,109,Notebook,Stationery,3.5,3,2024-04-09
82,3,106,Backpack,Fashion,29.95,4,2024-12-19
83,36,106,Backpack,Fashion,29.95,3,2024-05-31
84,37,108,LED Lamp,Home,22.75,4,2024-03-17
